GEMS,F850,e_F850,Re,e_Re,n,e_n,b/a,e_b/a,PA,f1,f2,RAJ2000,DEJ2000
J033244.71-280303.9,21.21,0.01,0.3,0.17,0.26,0.93,0.081,0.001,43.3,0,0,53.186301,-28.051093
J033244.61-280221.1,22.02,0.07,12.82,0.1,2.04,0.34,0.276,0.041,-43.4,1,1,53.185862,-28.039189
J033244.37-280215.5,23.6,0.11,9.35,0.13,1.25,0.32,0.512,0.059,23.7,1,1,53.184893,-28.037644
J033231.36-280258.6,25.53,0.08,2.85,0.1,1.03,0.25,0.39,0.053,58.0,1,0,53.130666,-28.049606
J033231.53-280332.3,23.08,0.15,29.22,0.18,0.6,0.33,0.54,0.074,39.8,1,1,53.131394,-28.058971
J033231.65-280314.9,25.12,0.1,7.89,0.13,0.52,0.28,0.196,0.061,9.5,1,0,53.131883,-28.054146
J033231.64-280144.6,25.26,0.08,2.36,0.09,0.6,0.23,0.559,0.05,-27.5,1,0,53.131852,-28.029047
J033231.68-280328.5,23.43,0.47,50.1,0.45,6.8,1.12,0.356,0.066,-49.3,1,0,53.13201,-28.057927
J033231.68-280311.7,25.07,0.11,4.61,0.16,2.55,0.54,0.377,0.048,53.7,1,0,53.13201,-28.053254
J033231.90-280347.6,23.67,0.27,24.76,0.28,2.46,0.7,0.607,0.068,-45.6,1,0,53.132897,-28.063215
J033231.96-280143.4,24.63,0.21,8.83,0.27,8.0,0.9,0.521,0.045,18.1,0,0,53.133166,-28.02873
J033231.99-280036.6,24.41,0.18,10.31,0.23,3.02,0.71,0.477,0.052,62.5,1,1,53.133311,-28.010168
J033232.10-280331.2,23.91,0.13,16.2,0.15,1.17,0.33,0.285,0.064,4.8,1,1,53.133749,-28.058663
J033232.02-280112.9,25.22,0.1,4.56,0.12,0.4,0.27,0.296,0.058,74.5,1,0,53.133397,-28.020261
J033232.09-280206.6,25.43,0.06,1.7,0.07,0.68,0.2,0.556,0.042,-1.0,1,0,53.133725,-28.035176
